1	112.64 0 0.04 314.88 0 160.34 0 0 0.08 0 0 0 0 0.06 211.54 213 163.72 314.6 0.02 0.04
2	0 0.06 0 0.5 0 0 0 0.46 0.02 94.64 0 223.4 9.84 0 0.04 0 0 0.02 0.02 0
3	0.4 0 1.18 0 0 80.08 0 106.8 0 1.32 0 0.02 0 0 0 0.02 0.04 35.12 0 0.04
4	0 0 0.22 26.76 0 0 0 110.42 0 2.64 0 141.52 137.34 0 0.12 0 0 0 183.96 0
5	67.78 0.06 0 0.02 0 0.02 130.16 0 0 0 0.02 0 0 0 0 0 0 0 29.92 0.04
7	89.1 34.22 0.02 0.32 0.02 352.26 163.08 0 0 0.24 0 5.5 67.2 0 113.66 47.78 7.12 258.44 26.96 0.06
8	164.52 0 0.02 230.82 86.98 0 0 0.98 0 20.7 0 0 69.92 0.02 117.04 0 0 0 0 0.02
9	96.04 135.94 0 0 0.02 0 0 0 0.04 0 0 0.02 130.78 0 0 186.14 391 0 0 0
11	290.22 0.04 0 0 0.04 0.04 16.12 0 0 0 0.08 187.38 161.08 0.02 91.96 0 0 0.02 0 0
13	0 0 0.02 0 0.14 130.4 0 39.48 36.18 0.02 0.9 0.06 84.26 0 0 75.3 90.16 0 0.06 0.02
15	3.58 0 0.08 173.56 0.02 0.34 0 0 0.02 0.02 0 0 0 0 0 236.44 183.84 185.52 108.56 0.04
16	0 0 0 0 45.08 0.04 0 0.02 0 0 0 0 0 0 0 0 56.84 0 0 0
18	0 0 0 0 19.86 0.02 0 0.02 0 0.06 0 0 0 0 0 0.04 0 0 0 0.02
19	0 0 0.02 0 39.6 0.02 0 0 0 0.02 0.02 0 0.3 0 0 0 194.96 0 0 0.04
21	0 0 0 0.14 0.08 4.5 0.34 18.74 0.04 88.1 1.44 0.08 0.16 0.04 0 79.26 0.08 0 0 0
22	139.18 148.16 0 323.08 0 0.04 0 0 0.02 0 0.02 267.48 68.74 0 0.08 0 0 0.2 0 0
25	6.8 0 0 2.42 0 0.02 0 95.6 0.04 0 0 0 0 0 0.02 272.92 177.56 84.38 157.22 0.02
26	0.08 0 1.78 0 0.14 0 2.62 0 58.86 0 0.02 0 0.2 0 0 0 0 0 130.3 0.02
28	217.64 130.32 0 228.02 0 0 0 65.46 0 57.92 0 1.72 0.28 0 161.54 0 0 0 0.02 0.06
29	0.02 0 0 0 0 0 0 0 0 155.26 0 99.7 0 0 0 0 0 0 0 0.02
30	0 0 0 0.06 121.44 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0
32	0 33.58 0.02 0 30.16 0 0 0.02 0 0.04 0.02 0 150.08 0 0 0 0 0 0 0.08
34	0 0 0 0.02 0 0 0.24 8.06 0.02 0 0 0 0 0 0.64 0 0 0 0 0.02
35	0 0 9.64 0.06 0 0 0 0 0 10.22 0 0 0 0 0 0 0 0.04 1.04 0
37	0 0 0 0 4.96 0 0.04 8.74 0.04 0.04 0.18 0 0 0 0 0 0 0 0 0
38	51.98 0.12 97.3 0.02 0 0 0 0 0.04 0.72 0.02 134.6 0 0 0.14 0.06 0 0 0 0
40	0.12 0.02 56.82 0.04 0 0 0 28.14 0.14 2.14 0.28 0 0 0 0 0 0 0 29.3 0
41	25.86 0 26.7 0 0 0 0 32.36 0.04 0 0.02 0 0 0 0 0 0 0 0.02 0
42	43.96 0 0 0 0 0 0 209.34 0 0 0 0 155.96 0 0 0 0 0.02 36.72 0
43	0.04 0 0 0 0.02 0 0.06 0 0 55.4 0 0 0 0 0 0 0 0 37.48 0
45	0.14 0 0 0 0 0 0 0.02 184.24 0 0 0 71.42 0 0.06 0 0 0.06 0.04 0.02
46	0.02 0.02 0 0 0 0 0 8.48 0 0 0 3.66 57.82 0 0 0 0 0 0 0
48	56.24 68 0 0 0.72 0 3.82 2 0.06 0 0 0.14 142.66 0 0 0 0 0 75.36 0.04
50	134.8 191.26 0 246.62 0 93.06 35.56 0.02 0 0 0.2 183.86 0.46 0.02 394.64 0 286.64 538.74 0 0.08
52	0.08 7.54 0 0 0.04 0 0 40.34 177.1 0.02 0 0.02 0 0.04 28.8 0 0 0.02 0 0
55	3.36 0.02 0.32 0 0 0 21.14 41.44 0 0 0 195.82 110.14 0 37.72 0 0.04 0 0 0
57	0.02 0 0.02 0 0.02 0.06 0 0 108.82 0.02 0.02 0 0.02 0 0 0 0 0 0 0
58	184.58 52.16 0 0 0.04 0.02 0 0 0 0 0.6 0 149 0 0.06 0 0.02 0.02 111.5 0
59	0.32 0.12 0 0 233.56 0 0 0 0.1 0.02 0 0.42 36.32 0 0 0 0 0 0 0.16
63	16.5 0 0 0.02 0 0 0 0 0 191.42 0 0 0 0.02 0 0 0 0 0 0.04
66	0.22 0 228.68 0 0.08 0 0 0 0 0 0.02 0 0 0 0 0 0 0 252.98 0
68	1.1 0.02 0 0 0.06 0 0.1 125.06 0 59.38 0 165.06 0.2 0 0 0 0 0 0 0.02
71	227.96 0 0 343.32 0.04 0 0 0 0 0 0 66.5 0.02 0 23.12 0.02 0.02 0 0 0
75	0 0 1.36 0 0 0.1 0 0 0 12.5 0 0 0 0 0.02 0 0 0 0.02 0
77	255.4 0 0 0.02 0 0 0 0 0 0 0 24.88 0 0 0 0.04 0 0 97.64 0.02
79	180.46 223.76 0 289.64 0.02 0 47.54 0.2 0 0 0 271.7 0 0 20.86 0 0.02 0 50.72 0.14
83	0 0 44.12 97.06 26.74 0.02 0 50.46 238.28 0.02 1.58 0.04 0 0 106.62 0 0 0 0 0.02
87	124.8 115.22 16.64 25.24 0.1 0 0 57.28 0 0 0.22 0.46 0 0 40.7 0.06 0.02 0 48.08 0.16
88	63.4 0 132.58 89.36 0.14 0 0.12 0 0.04 0 0 0.64 0.16 0 0 0.02 0 0 319.52 0.04
89	0 0 0 44.7 0 0 25.86 0.38 0 0.16 87.08 298.66 121.12 0 351.02 0 0 0 0 0
93	0.04 0 0.02 0 0 264.18 0 0.34 0 0.32 0 0.02 72.9 0 0 0.1 0 0 0 0.1
94	0.8 0 0 0.04 0 0 0 0.14 0 234.28 0.06 0 0.02 0 0 0 0 0 85.64 0.02
95	3.98 0 0.08 373.1 0.08 0 0.02 133.1 0 192.98 0.02 0.02 0.56 0 0 0 0 0 0 0.08
99	0 43.58 0 231.2 0.16 0 0 0.54 0.08 193.68 35.22 0.16 0.32 0 0 0 0.02 0 0 0
101	0 0.04 0 0 0 0 0 82.1 0.04 98.72 0 0 0 0.02 1.04 0 0 0 0 0.06
105	0.02 0 42.34 0 4.36 0 0.02 24.6 0 0.02 0 0 0.02 0.04 0.24 82.3 0 0 0 0.04
106	0.08 0.02 0 0 0 0 0 0 0 0 0 0 0.02 0 0 156.8 0 0 0.02 0.04
109	0 0 0 0 0 88.82 0.08 107.32 0 0 0 0 0 0 70.94 0 0 79.72 0.1 0.02
110	0.02 0 53.1 0.04 0 0 0 0.02 10.68 0 0 0 0.1 0.02 0 0.02 0 0 0 0.02
111	0.54 0 0 72.76 0.02 0.24 0 66.66 0.08 0.06 0 0 0.42 0 0.04 374.34 156.5 12.2 123.12 0
115	0 0 0 2.94 0.96 0 0 0 0 0.02 0.02 0 0 0.02 31.9 0 0.12 0.02 0 0
116	0.02 0 0 0.04 0 0 0.04 0.08 159.9 0 0.02 0 45.7 0 0.12 0 188.08 0 0 0
119	0 0 0 0 12.92 0 0 0 0 0 0 0 0.02 0 0.06 0 0 0 0 0
122	1.7 0 0 0 0.08 47.06 0 83.4 0.02 0.04 0 0.04 0 0.02 0.02 42.82 0 26.6 0.18 0.04
123	27.04 0 0 0 0 79.24 89.52 0 0 0.04 0 0 0 0.02 0 114.02 0.1 0 0 0
124	0.4 62.56 0 0.02 0 378.78 0.02 0.02 0 0 0.02 0 157.1 0 0.06 0.02 0 0 0 0
126	0.02 0 0 5.64 0 0 0.02 0.02 0 0 0 0 0 0.02 0 146.5 136.7 0 0 0.14
127	0.18 339.6 0 0 0 60.4 28.12 0.08 0 0 0 139.22 207.84 0.18 97.56 0 324.3 244.84 0.62 0
131	0 0 0 0 25.72 0.02 0 0 0 0.04 0 0 0 0 97.64 0.02 0 0.02 164.38 0.18
133	149.42 0 0.02 0 0 0 0 0.02 0.04 0 241.86 0 0.04 0 142.52 0.02 0 0 0.04 0
135	0.04 246.66 0 42.78 0 0 0.48 0 0.28 84.26 0.04 0.02 131.56 0.02 214.76 0 0 0 75.1 0
136	0 75.46 45.78 0.02 0 0 0 0 0 0 151.64 0 0 0 70.08 0.02 0 0 0 0
137	0 0 0 0 0.02 92.62 0 0.22 122.44 0.02 0.94 0 164.98 0 0 0 166.74 0 0 0.02
138	0.08 0 0 5.3 0 0 0 0.04 0 22.08 0.08 0 0 0 3.42 0 0 0 0 0
139	0.1 0 0 0 0 0.02 0 0 0 101.56 0 0 0.02 0 0 0 0.02 0.04 0.24 0
141	0.02 0 0 61.22 0 0 0 0 0 90.12 58.5 0.88 0 0 5.22 0 0 0 0 0.04
142	0 0.02 0 0 0 0.02 0 0 0 124.9 0 0 0.02 0 0 0 0 0 0 0.08
144	182.32 0 0.06 73.46 0 0 0 0.08 0 0 0 225.06 0 0 268.88 0 0 0 1.1 0
146	0 0 0.06 0.06 0 0.08 0 0 0.02 0.04 0 0 0 0 0 0.02 22.64 0.06 0 0.04
147	101.28 0 0 0 0 90.24 0 0 0.02 0 0 0 0 0 0.32 167.44 0 141.32 0 0.36
149	0 0.36 0.02 0 0 23.42 0.18 0.02 0 0.06 0 0 14.88 0 0 0.9 16.02 0.02 0 0.12
152	0 0 0 0 47.8 0 0 18.06 0 0.02 77.06 0 0.06 0 83.06 0 0 0.1 6.84 0.02
153	26.88 0.02 0 0 47.34 0 0 109.78 0 0 0 0 8.12 0 271.22 0 0 0 271.6 0.02
156	0 0 0.52 0 0 0 35.72 209.3 0.08 0 0 0 205.36 0 0 0 0 0.02 0 0
158	24.96 0 6.2 0 0 0.06 0 23.78 0 58.34 0 0 0 0 0 0.04 0.02 0 10.6 0
162	72.68 0 0.32 37.02 0.04 0 0 0 0.08 0 86.96 0 0 0 0.46 0 0 0 81.44 0.02
165	0 0 0 0.06 224.6 0 0 0 0 0 0.22 0 0.08 0 0 0 0 0.02 0 0
166	0.02 0.02 0 0 210.86 0 0 0 0.08 0 0 0 0 0 0.02 0 0 0 0 0
167	0 0 48.76 0.04 0 0 0.02 0.22 0.12 96.18 3.4 0 0 0 0.08 0 0 0 17.18 0.04
168	1.16 71.18 15.54 154.96 0 0 0.04 202.28 0 0.02 0 0 18.92 0.02 430.64 0 0 0 175.16 0.04
169	0.1 0 0.02 0.08 0 0 0 72.52 0 0 0 0 0 0.02 366.2 0.06 0 0 0 0.04
172	122.86 0.1 0.24 339.04 0.28 0.02 0.02 0 0 0 0 279.94 128.14 0 363.24 0 0 0 0 0.1
173	253.9 0.04 0 200.26 0 0 0 0 0 60.86 0.1 0.02 109.18 0.12 395.36 0 0.08 0 89.06 0
176	0.26 96.22 0 90.84 0 0 63.24 0 0 0.06 0 326.38 104.56 0 210.38 0 0 0.02 0.04 0
178	0 142.98 66.18 0 0.08 0.02 0 0.02 0 0.44 90.34 0.5 79.22 0 60.12 0.04 0 0.02 0 0.06
179	0.2 73.46 0 0 0 0.04 85.6 110.74 104.66 0 0 0 65.82 0 215.8 0 0 0 52.66 0.02
181	29.04 0 0.6 267.7 0 0 28 0 0 0.1 0 200.74 0 0.02 387.76 0 218.6 556.28 0.04 0.16
182	0 201.5 0.8 0.02 0 0 2.2 19 0.02 0 0.06 216.86 252.46 0 0 0 0 0 0 0.04
187	0 314.1 0 0 0 0.02 0.04 0 0.18 0.04 0 181 186.28 0 48.6 0 0 0 0.58 0.18
191	2.48 154.42 60.62 83.44 0 0 0 0.02 0 0 0 0.04 166.34 0 271.78 0 0.1 0 166.66 0.08
192	0 167.26 0 0 3.04 0.08 0.06 0 0.44 0 0 14.88 219.22 0 0 0 0 0 0 0
194	0.12 285.54 0 0 0 0 0 0.06 0 25.38 0.02 0.08 0 0 191.22 0 0 0 257.44 0.16
195	0.12 0.04 0.08 132.52 0 0 0.02 0.26 0 48.88 0 342.52 44.6 0.02 367.88 0.04 0 0 0 0.04
197	86.1 200.54 0.3 0 0 0 0 0 0 0 133.68 0.22 77.92 0 131.32 0 0 0 149.78 0.1
198	27.84 78.02 0 0 157.8 0 0 59.68 0.02 0 0 0 0 0 93.56 0.06 0.02 0 0 0
199	0 264.18 0.14 0 0.06 0.08 0 0 0 0 144.98 0.02 0 0 137.5 0 0 0.02 0.02 0.02
203	10.34 100.88 0 0.16 0 0.02 0.02 0.02 0 0 0.2 189.32 72.24 0 131.2 0 0 0 57.56 0.04
204	0.86 0 0 250.2 0 0 0 138.36 0.04 46.38 0.02 40.38 44 0 208.74 0 0 0 323 0
205	0.04 300.96 0 0 0.12 0 0 0.54 0 38.48 42.1 0 0 0 65.76 0 0 0 0 0
207	0.92 21.52 0.1 0 160.24 0.02 0 0 0.5 18.52 0 0 0 0 0.1 0.02 0 0.06 0 0
211	0.16 115.12 0.02 0 0 0 0.38 46.66 0.24 0 108.52 0.08 0 0 121.12 0.04 0.02 0 269.64 0.02
